Episode Title,Season/Episode
The Lion Sleeps Tonight,818
Moment of Truth,821
An Honest Mistake,516
Perfect Little Accident,616
Forever Young,408
"Dream a Little Dream of Me, Part 2",502
Band-Aid Covers the Bullet Hole,220
Take the Lead,803
Lay Your Hands on Me,411
My Favorite Mistake,319
