Episode Title,Season/Episode
Puttin' on the Ritz,1004
Thriller,1007
We Didn't Start the Fire,1515
The Last Supper,1612
Guess Who's Coming to Dinner,1205
Something's Gotta Give,708
Invest in Love,608
Everyday Is a Holiday (With You),1808
Whistlin' Past the Graveyard,1606
"Slow Night, So Long",709
