Episode Title,Season/Episode
Idle Hands,918
Sorry Seems to Be the Hardest Word,1009
You're Gonna Need Someone on Your Side,1221
Roar,1306
Why Try to Change Me Now,1307
"It's Alright, Ma (I'm Only Bleeding)",1219
Man on the Moon,1011
Gut Feeling,1503
Sledgehammer,1201
Something to Talk About,207
