Episode Title,Season/Episode
If/Then,813
Time After Time,320
Love Turns You Upside Down,908
Stand By Me,518
Hard Bargain,915
Almost Grown,705
The Lion Sleeps Tonight,818
Take the Lead,803
An Honest Mistake,516
All By Myself,510
