Episode Title,Season/Episode
We Didn't Start the Fire,1515
Thriller,1007
The Last Supper,1612
Guess Who's Coming to Dinner,1205
Puttin' on the Ritz,1004
Hope for the Hopeless,812
Whistlin' Past the Graveyard,1606
Invest in Love,608
"Slow Night, So Long",709
"Help, I'm Alive",1510
